cep,Iguatz,RioMar,RioSul,Shopping Recife,Shops Jardins,Shopping Mais Proximo,Estimado Por Proximidade
21020110,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21020200,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21020320,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21020330,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21021261,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21021350,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21021370,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21021380,2171.61,1862.39,15.59,1859.0,357.34,RioSul,
21021540,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21031410,2171.94,1862.52,14.85,1859.13,357.79,RioSul,
21031820,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21041040,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21046050,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21050500,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21050624,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21050740,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21050840,2174.88,1865.1,12.37,1861.71,357.24,RioSul,
21073050,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21073312,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21073440,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21210110,2172.81,1864.63,18.29,1861.24,353.21,RioSul,
21210700,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21210720,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21210750,2172.06,1863.8,18.3,1860.41,353.93,RioSul,
21211080,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21220290,2173.52,1865.46,18.45,1862.06,352.41,RioSul,
21220301,2173.67,1865.66,18.59,1862.27,352.14,RioSul,
21220400,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21220560,2172.77,1864.93,19.44,1861.54,352.12,RioSul,
21221180,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21221290,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21221330,2172.63,1864.57,18.74,1861.18,352.94,RioSul,
21221410,2173.2,1865.0,18.1,1861.61,353.04,RioSul,
21221420,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21221430,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21230075,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21230330,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21230362,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21230770,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21235120,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21235550,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21235602,2171.92,1864.15,19.95,1860.76,352.4,RioSul,
21240470,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21240500,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21250450,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21310150,2177.19,1869.53,19.16,1866.14,348.91,RioSul,
21321160,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21321230,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21321234,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21321480,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21321550,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21330210,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21330810,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21331030,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21341332,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21341370,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21350070,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21370180,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21371270,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21380008,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21380330,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21510150,2173.69,1866.51,21.43,1863.12,349.42,RioSul,
21510550,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21515080,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21550570,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21557060,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21660000,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
