No;Keywords;Volume;Position;Est. Visits;Seo Difficulty;Ranking Url;CPC;Paid Difficulty
1;oleo moroccanoil;6600;1;2416;21;http://br.moroccanoil.com/products/moroccanoil-treatment-original;;
2;moroccanoil mascara;2400;1;821;20;http://br.moroccanoil.com/products/intense-hydrating-mask;;
3;mascara moroccanoil;2400;1;821;19;http://br.moroccanoil.com/products/intense-hydrating-mask;;
4;shampoo moroccanoil;880;1;420;20;http://br.moroccanoil.com/collections/shampoo-conditioner;;
5;moroccanoil shampoo;720;1;357;21;http://br.moroccanoil.com/collections/shampoo-conditioner;;
6;moroccanoil curl defining cream;480;1;242;20;http://br.moroccanoil.com/products/curl-defining-cream;;
7;oleo de argan moroccanoil;590;1;220;21;http://br.moroccanoil.com/products/moroccanoil-treatment-original;;
8;óleo de argan moroccanoil;590;1;220;21;http://br.moroccanoil.com/products/moroccanoil-treatment-original;;
9;curl defining cream;480;1;203;20;http://br.moroccanoil.com/products/curl-defining-cream;;
10;moroccanoil óleo;390;1;199;21;http://br.moroccanoil.com/products/moroccanoil-treatment-original;;
11;moroccanoil treatment;390;1;199;20;http://br.moroccanoil.com/products/moroccanoil-treatment-original;;
12;moroccanoil light;390;1;199;12;http://br.moroccanoil.com/products/moroccanoil-treatment-light;;
13;moroccan oil;390;1;189;29;http://br.moroccanoil.com/;;
14;óleo de cabelo moroccanoil;320;1;151;20;http://br.moroccanoil.com/products/moroccanoil-treatment-original;;
15;moroccanoil creme;320;1;145;21;http://br.moroccanoil.com/products/hydrating-styling-cream;;
16;moroccanoil shampoo e condicionador;260;1;128;21;http://br.moroccanoil.com/collections/shampoo-conditioner;;
17;óleo moroccanoil light;260;1;128;20;http://br.moroccanoil.com/products/moroccanoil-treatment-light;;
18;moroccanoil leave in;260;1;128;18;http://br.moroccanoil.com/products/hydrating-styling-cream;;
19;shampoo e condicionador moroccanoil;260;1;128;21;http://br.moroccanoil.com/collections/shampoo-conditioner;;
20;oleo moroccanoil light;260;1;128;19;http://br.moroccanoil.com/products/moroccanoil-treatment-light;;
21;creme de pentear moroccanoil;260;1;128;20;http://br.moroccanoil.com/products/hydrating-styling-cream;;
