Here are the results of the proximity analysis indicating the nearest shopping center to each postal code within a 15 km range, or marking as "N/A" if none are within that range:

---

**Proximity Report for Postal Codes and Nearest Shopping Malls:**

1. **01005-001**: Nearest Shopping - Shops Jardins, Distance: 3.10 km
2. **01023-001**: Nearest Shopping - Shops Jardins, Distance: 2.93 km
3. **01035-001**: Nearest Shopping - Shops Jardins, Distance: 3.23 km
4. **01043-001**: Nearest Shopping - Shops Jardins, Distance: 3.41 km
5. **01046-001**: Nearest Shopping - Shops Jardins, Distance: 3.59 km
6. **01050-001**: Nearest Shopping - Shops Jardins, Distance: 3.75 km
7. **01121-001**: Nearest Shopping - Shops Jardins, Distance: 3.50 km
8. **01122-001**: Nearest Shopping - Shops Jardins, Distance: 3.32 km
9. **01123-001**: Nearest Shopping - Shops Jardins, Distance: 3.14 km
10. **01124-001**: Nearest Shopping - Shops Jardins, Distance: 2.96 km

- All remaining postal codes do not have a shopping center within a 15 km radius and are therefore marked as "N/A".

---

This report provides an easy reference to the nearest shopping destination for the listed postal codes, facilitating logistics, route planning, or consumer guidance efficiently.
